new	module	title	source	kind
1	1	What a Market Solves	-	NEW
2	1	The Order Book	-	NEW
3	1	What a Fill Actually Is	-	NEW
4	1	The Spread Is the Price of Immediacy	22	MOVE
5	1	Why Anyone Quotes At All	-	NEW
6	1	The Candle Is a Summary	3	MOVE
7	1	Time and Sales	18	MOVE
8	1	Volume and Delta	2	MOVE
9	1	Who Else Is Here	-	NEW
10	2	Every Trade Starts Negative	-	NEW
11	2	Slippage and Impact at Retail Size	57	MOVE
12	2	What Should You Actually Trade	23	MOVE
13	2	What You Are Actually Buying	24	MOVE
14	2	Margin and Leverage	-	NEW
15	2	When Your Broker Acts Without You	13	MOVE
16	2	Sim Against Live	12	MOVE
17	3	Expectancy	-	NEW
18	3	What an Edge Feels Like	55	MOVE
19	3	How Long Until You Know	-	NEW
20	3	Position Sizing	9	MOVE
21	3	Where the Stop Goes	10	MOVE
22	3	Risk of Ruin	36	MOVE
23	3	Keeping the Record	37	MOVE
24	3	When the Drawdown Arrives	7	MOVE
25	4	Where Liquidity Rests	16	MOVE
26	4	The Order Book Is Theater	25	MOVE
27	4	The Liquidity Lie	1	MOVE
28	4	Absorption and Exhaustion	27	MOVE
29	4	Volume at Price	20	MOVE
30	4	Volume Profile	32	MOVE
31	4	Hidden Size	-	NEW
32	4	Market Structure	14	MOVE
33	4	Order Blocks and Displacement	17	MOVE
34	4	Divergence	29	MOVE
35	4	Sweeps, Beyond the First	31	MOVE
36	5	Markets Have Modes	53	MOVE
37	5	Detecting a Regime Change	33	MOVE
38	5	What a Timeframe Is	11	MOVE
39	5	Trading More Than One	30	MOVE+75
40	5	Multi-Day Structure	21	MOVE
41	5	The Session Cycle	19	MOVE
42	5	Opening and Closing Auctions	49	MOVE+54
43	5	Scheduled Events	45	MOVE
44	5	Volatility as a Quantity	56	MOVE
45	5	Correlation	47	MOVE+76
46	5	Positioning Data	15	MOVE
47	5	The Macro Cycle	44	MOVE+68
48	6	What an Indicator Is	-	NEW
49	6	Repainting	4	MOVE
50	6	Moving Averages	6	MOVE
51	6	Oscillators Under Regime	5	MOVE
52	6	Confirmation Bias	8	MOVE
53	7	The Market Maker's Business	43	MOVE
54	7	Where Your Order Actually Goes	26	MOVE
55	7	What Speed Buys	60	MOVE+48
56	7	Off-Exchange	28	MOVE+39
57	7	How Institutions Execute	52	MOVE+74
58	7	The Professional Order Types	73	MOVE
59	7	Market Impact	69	MOVE
60	7	Options Dealers	42	MOVE+40
61	7	Thinking Adversarially	41	MOVE
62	8	From Observation to Hypothesis	-	NEW
63	8	Backtesting	35	MOVE
64	8	Overfitting	-	NEW
65	8	Forward Testing and Deployment	58	MOVE
66	8	Performance Attribution	63	MOVE
67	8	Is the Edge Gone?	-	NEW
68	8	Why Edges Die	71	MOVE
69	8	Automation	61	MOVE+70
70	8	Machine Learning	59	MOVE
71	9	Your Positions Are One Position	34	MOVE
72	9	Portfolio Heat	50	MOVE
73	9	Allocating Across Strategies	51	MOVE
74	9	Where Portfolio Theory Fails Traders	62	MOVE
75	9	Institutional Risk Controls	82	MOVE
76	10	The Trading Day	38	MOVE
77	10	Infrastructure	65	MOVE
78	10	Tax	64	MOVE
79	10	Career Paths	66	MOVE+84
80	10	Trading as a Business	78	MOVE
81	10	Capstone: Your System, Written Down	85	MOVE+79+80+81+83+86
82	11	Statistical Arbitrage	67	MOVE
83	11	Crypto Microstructure	72	MOVE
84	11	Behavioural Finance	77	MOVE
85	11	Dispersion and the Vol Surface	46	MOVE
